"C","n1","c1","c2","c3","c4","y"
2641015529,15,0,1,1,0,0
2641015529,125,1,1,0,1,70
2641015529,15,0,1,0,0,40
2641015529,62.5,0,0,0,1,100
48452208,250,1,0,1,0,60
2528308950,60,0,1,0,1,20
2641015529,8,1,1,1,1,0
2981099879,125,0,1,0,1,0
2641015529,125,0,1,0,1,100
1861074436,30,1,1,0,1,90
2641015529,125,0,1,1,1,20
2009571124,4,1,1,0,0,70
2641015529,8,0,1,1,1,0
2371609277,62.5,1,0,0,0,10
2641015529,8,0,1,1,0,0
2006778081,250,0,1,0,0,60
56683832,8,1,1,0,1,30
2641015529,30,0,1,1,0,0
2641015529,250,0,1,1,0,0
2005787345,60,0,1,1,0,0
1301371026,30,1,1,0,1,60
2074733805,125,1,1,0,0,80
636777504,62.5,0,0,1,0,0
2641015529,250,0,1,0,1,100
2641015529,125,0,1,1,1,70
2641015529,125,1,1,0,1,70
2693526805,125,1,1,0,0,100
2641015529,8,0,1,1,1,60
2005787345,30,1,1,1,0,0
2641015529,8,1,1,1,1,50
2641015529,15,0,1,1,1,10
615478933,60,0,1,1,1,0
2641015529,30,1,1,0,1,70
2641015529,125,0,1,1,1,80
2187904409,125,0,1,0,1,70
615478933,60,1,1,0,1,0
2641015529,8,0,1,0,1,0
2164902691,125,0,1,1,1,0
2641015529,30,1,1,1,1,10
2641015529,60,1,1,0,1,90
1755314465,250,0,1,1,1,70
2641015529,8,1,1,1,0,0
2641015529,250,1,1,1,1,100
2641015529,60,0,1,1,1,90
2089935357,125,1,1,0,0,90
2164902691,60,1,1,1,1,0
2641015529,250,0,1,0,0,50
853983471,500,0,0,1,0,0
1935043828,60,1,1,0,1,30
2528308950,250,1,1,1,0,10
509747423,60,1,1,0,1,0
2641015529,125,0,1,0,1,100
2641015529,30,1,1,0,1,70
2092667578,250,1,0,0,0,90
2641015529,60,0,1,1,1,0
2641015529,250,0,1,0,1,80
1965130231,1000,1,0,1,0,20
2641015529,8,1,1,0,1,50
2641015529,250,1,0,0,1,90
2641015529,60,0,1,1,1,90
2641015529,125,1,1,1,1,100
2641015529,60,1,1,0,1,80
2641015529,250,1,0,0,0,90
801811715,250,1,1,1,1,10
2641015529,250,0,1,0,1,90
2958603807,250,0,1,0,1,40
298091004,125,0,1,1,0,30
2641015529,125,0,1,0,1,60
2641015529,250,0,1,1,1,100
2027668676,62.5,0,0,0,1,0
2641015529,30,0,1,1,1,0
2641015529,15,1,1,0,1,100
2641015529,8,1,1,0,1,90
2022849063,250,1,1,1,0,0
2133539009,30,0,1,0,1,20
2760374904,125,1,1,1,1,40
2641015529,60,1,1,0,0,70
1568289867,30,0,1,0,1,0
2641015529,8,0,1,0,1,20
2641015529,8,0,1,0,1,0
1660300571,1000,1,0,0,0,70
2641015529,30,1,1,1,1,10
2641015529,1000,1,0,0,0,100
2641015529,30,0,1,0,1,100
2641015529,60,0,1,1,1,70
1692213733,60,1,1,1,1,90
2044464564,125,1,1,1,0,0
2641015529,250,1,1,0,0,90
298091004,30,1,1,1,0,0
2641015529,500,0,1,1,1,0
1530256782,1000,1,0,1,1,100
991543574,8,1,1,1,0,0
2641015529,15,1,1,1,1,90
1530256782,62.5,1,0,0,0,90
2641015529,60,1,1,0,1,60
2641015529,15,0,1,0,0,0
1433591419,60,1,1,1,0,10
2641015529,15,0,1,0,1,30
2641015529,500,0,1,1,1,60
2528308950,30,1,1,0,0,80
730771645,125,0,1,0,1,0
2303486694,30,1,1,1,0,0
2886481941,250,0,1,1,1,20
1132106078,250,0,1,1,0,10
2093716870,125,1,1,1,1,70
2641015529,60,0,1,1,1,60
311269761,250,1,1,0,0,90
2933387480,30,1,1,1,1,60
2641015529,15,0,1,0,1,0
2641015529,250,1,1,0,1,100
2706782816,30,1,1,0,0,40
2120731184,250,1,1,1,1,0
2641015529,15,0,1,0,0,20
2641015529,250,0,1,0,1,30
1350191599,62.5,0,0,0,0,20
2641015529,250,0,1,1,1,90
2641015529,15,1,1,1,1,60
2641015529,30,1,1,1,0,0
2641015529,15,1,1,1,0,0
2641015529,8,1,1,1,1,0
2641015529,125,0,1,1,1,90
2641015529,8,0,1,0,0,20
1530256782,125,0,1,0,0,100
777403527,125,0,1,1,1,70
2622372972,30,1,1,0,1,0
2011778366,250,1,0,0,1,100
2641015529,8,0,1,0,0,10
2350595603,250,0,1,1,1,0
2133539009,250,1,1,1,1,80
303272347,30,1,1,0,1,60
2840652757,30,1,1,0,1,0
2641015529,60,1,1,0,1,90
2641015529,250,0,1,1,1,100
2110919853,125,1,1,0,1,20
1530256782,30,1,1,1,1,90
2641015529,8,1,1,1,1,0
1335438707,250,1,0,0,1,90
1541548777,60,1,1,1,0,10
2641015529,125,1,1,0,1,60
2641015529,2,1,1,1,1,30
2641015529,250,1,1,1,1,40
