"C","n1","c1","c2","c3","c4","y"
2641015529,8,0,1,1,0,0
2641015529,250,0,1,1,1,100
1447102447,250,1,1,0,1,30
284556063,250,1,0,1,0,0
1454071915,125,0,1,1,1,100
2641015529,250,0,1,0,1,100
2641015529,30,0,1,1,1,30
2641015529,125,0,1,0,0,100
2641015529,250,1,1,1,1,80
2641015529,125,0,1,1,1,80
2641015529,15,1,1,0,0,40
2641015529,60,0,1,0,1,80
1252582573,125,1,1,0,1,100
2641015529,15,1,1,0,0,50
1182287526,30,1,1,0,0,10
2307664881,125,1,1,0,0,70
2641015529,15,1,1,0,1,60
2641015529,15,1,1,1,1,0
2045569781,1000,1,0,1,1,70
2641015529,15,0,1,1,0,0
2641015529,15,0,1,0,1,50
2641015529,500,0,1,0,0,100
420942325,60,1,1,0,0,30
2641015529,60,1,1,1,1,10
2641015529,15,1,1,1,1,80
2641015529,60,1,1,0,0,100
2641015529,15,0,1,0,1,100
1530256782,60,1,1,0,1,90
2641015529,1000,0,0,1,1,20
2641015529,15,0,1,1,1,50
2005954206,250,1,1,1,1,30
2641015529,8,1,1,0,1,80
1530256782,30,1,1,1,0,0
2641015529,15,0,1,0,0,0
225536096,60,1,1,1,1,60
2641015529,125,1,1,0,1,90
2641015529,60,1,1,0,0,70
2641015529,250,0,1,1,0,0
1884559186,30,1,1,1,0,0
693184093,30,1,1,0,1,10
2641015529,60,0,1,1,0,20
2046544431,60,1,1,1,1,60
2641015529,125,1,1,1,1,60
2641015529,30,1,1,1,0,10
1530256782,1000,0,0,0,1,100
718550117,60,1,1,0,0,80
734777183,125,1,1,0,0,100
2641015529,125,0,1,1,0,0
1504037478,1000,1,0,0,0,90
2734153148,15,1,1,0,0,10
2641015529,60,1,1,1,1,80
1353647494,60,0,1,0,0,10
2065913462,250,1,0,1,0,80
615478933,1000,1,1,1,1,10
2641015529,250,1,1,1,1,100
2528308950,250,0,1,1,1,70
2641015529,250,0,1,1,1,90
2067204077,8,1,1,0,1,60
2641015529,30,0,1,1,1,0
1865282480,250,0,1,1,1,0
2034936463,250,1,1,0,0,80
1579501129,250,0,0,1,1,0
2814763339,250,0,0,1,0,0
2641015529,60,1,1,1,0,0
2641015529,60,1,1,1,1,90
81676411,30,1,1,1,0,0
2641015529,60,0,1,0,1,30
2089713397,125,1,1,0,1,100
2641015529,30,1,1,1,1,80
2641015529,60,1,1,0,0,80
2641015529,30,0,1,0,1,30
298091004,125,0,1,1,0,10
2095474286,60,1,1,1,1,10
2641015529,8,1,1,0,0,50
718550117,30,1,1,1,1,70
1530256782,125,1,1,0,1,80
2641015529,250,1,0,1,1,90
2023343202,250,0,1,1,0,10
2641015529,15,1,1,0,0,60
2641015529,60,1,1,0,0,70
2641015529,250,0,1,1,0,10
1096613432,60,1,1,0,1,80
2089713397,30,0,1,0,1,0
2813426569,60,0,1,1,1,0
2663296277,1000,0,0,1,0,60
819766967,30,0,1,1,1,80
2641015529,125,1,1,1,0,10
2641015529,30,1,1,0,0,80
2030848809,1000,0,0,0,1,100
1530256782,250,1,0,0,1,90
2005954206,60,0,1,1,1,0
2641015529,15,0,1,1,0,0
2750880962,30,0,1,1,1,0
2641015529,125,0,1,0,1,100
2011778366,125,0,1,1,0,0
2005787345,15,1,1,1,1,0
2641015529,125,0,1,1,1,0
2641015529,30,1,1,0,0,50
398278812,60,0,1,1,0,0
2035910697,60,0,1,0,0,0
2641015529,125,0,1,1,1,0
2641015529,250,0,1,1,1,100
2641015529,30,1,1,1,1,10
2641015529,250,1,1,1,1,80
2641015529,60,0,1,0,0,80
2641015529,30,1,1,0,0,60
2641015529,30,1,1,1,0,0
2850341554,60,0,1,0,1,0
2641015529,250,1,1,0,1,60
2641015529,250,1,1,0,1,100
2350595603,60,0,1,1,0,0
2641015529,30,0,1,0,1,20
2641015529,125,0,1,0,1,100
2641015529,15,1,1,1,0,0
614661374,8,1,1,1,1,80
2641015529,250,0,1,0,1,30
1165802610,30,1,1,1,1,50
1844079677,8,1,1,0,0,0
2036635343,30,1,1,1,0,0
2641015529,60,0,1,0,1,100
2641015529,30,1,1,1,1,10
2116602766,250,1,1,0,1,100
2641015529,15,0,1,1,1,50
2046544431,250,1,1,0,1,100
1150271433,250,1,1,1,1,0
2767299108,30,1,1,1,0,10
1353647494,125,1,1,0,0,80
33643583,15,1,1,1,1,0
2766118783,125,1,1,0,1,40
2641015529,250,0,1,1,0,0
2641015529,125,0,1,1,1,100
2641015529,125,1,1,0,0,100
2641015529,62.5,0,0,1,1,90
2641015529,125,0,1,1,0,10
2641015529,8,1,1,0,0,40
1688259611,250,1,0,0,0,30
2641015529,30,1,1,1,0,0
2641015529,125,1,1,0,0,90
2641015529,60,0,1,1,0,0
2641015529,250,0,1,0,1,100
2641015529,1000,0,0,0,1,100
2641015529,8,1,1,0,1,70
2641015529,60,1,1,1,1,70
1150271433,125,0,1,0,0,0
2641015529,250,1,1,1,0,60
1799051669,1000,1,0,0,0,10
2641015529,15,0,1,0,1,0
2641015529,125,0,1,1,1,90
425526245,1000,0,0,0,1,0
1566641222,250,0,1,1,1,0
2120387640,250,1,1,1,1,50
2641015529,15,1,1,0,0,80
2641015529,125,0,1,1,1,100
2400456922,60,0,1,0,1,0
1530256782,62.5,1,0,0,0,80
1353647494,125,1,1,0,1,100
1811151743,60,1,1,1,1,10
2641015529,60,0,1,0,1,60
2641015529,250,0,1,1,1,90
2641015529,125,1,1,1,1,60
2641015529,60,1,1,0,1,80
1014905061,125,1,1,0,0,80
2077551880,125,1,1,1,0,90
2641015529,30,0,1,0,0,40
2689292287,62.5,0,0,1,0,0
2641015529,250,1,1,0,1,70
2641015529,125,1,1,1,0,60
2641015529,250,0,1,1,1,90
2014311649,60,1,1,0,0,10
2641015529,8,1,1,1,0,0
2047795320,60,0,1,0,1,0
2641015529,30,0,1,0,0,0
2007161983,15,1,1,0,1,90
2641015529,30,1,1,1,1,80
2062813403,62.5,0,0,1,1,0
2641015529,8,1,1,1,1,70
2641015529,30,0,1,1,0,0
409356343,62.5,0,0,1,1,90
2044464564,250,0,1,1,1,0
2641015529,125,0,1,0,1,100
2083566333,1000,0,0,0,0,0
2641015529,15,0,1,0,1,10
2641015529,125,1,1,0,0,90
2641015529,125,0,1,0,0,0
2006139222,1000,1,0,0,1,10
